Strategy,CAGR,Vol,Sharpe,MDD,AvgDD,TUW_days
Buy & Hold (SPY),0.10212789689361346,0.19163774335596576,0.532921621310848,-0.5518945719483235,-0.08643389389625453,4495
Stop 5% (with costs),0.058013357256318177,0.07214809258814131,0.8040871930944657,-0.0873792186643161,-0.039348319871088604,4739
Stop 5% + 20% VIX overlay,0.025732537293185143,0.179517696900819,0.14334262157675745,-0.4453884772288297,-0.1683091774831782,5034
