Strategy,CAGR,Vol,Sharpe,MDD,AvgDD,TUW_days
S&P 500 (SPY adj close),0.10601220019317803,0.18430114213712778,0.5752118460248092,-0.5518943279603264,-0.07866542986297297,5175
US 7-10Y Treasury (IEF),0.03323166751491535,0.06720981542971956,0.49444664149785206,-0.23924757959143989,-0.054518676202624565,5593
Bitcoin (BTC-USD),0.6476834433402798,0.6636495016561759,0.9759420322383249,-0.8303625055816859,-0.37004531075773456,2695
